Date,Open,High,Low,Close,Volume
2026-01-08 14:00:00,107.825,107.94,105.925,106.59,7974617
2026-01-09 14:00:00,107.86,109.005,107.59,108.89,6512382
2026-01-12 14:00:00,107.51,108.98,107.49,108.93,8059719
2026-01-13 14:00:00,108.9,108.91,107.38,107.54,7995314
2026-01-14 14:00:00,109.05,109.66,108.57,109.64,7408625
2026-01-15 14:00:00,111.61,112.0,110.95,111.05,9862165
2026-01-16 14:00:00,111.78,112.255,110.835,112.22,7804100
2026-01-20 14:00:00,110.47,112.4,110.36,110.97,8252014
2026-01-21 14:00:00,114.0,116.26,113.82,115.66,10876719
2026-01-22 14:00:00,115.76,116.35,114.74,115.99,6094095
2026-01-23 14:00:00,115.29,118.41,115.05,117.97,8550215
2026-01-26 14:00:00,117.27,117.935,117.2,117.32,5085752
2026-01-27 14:00:00,121.285,122.82,121.05,122.7,11016980
2026-01-28 14:00:00,125.4,125.595,123.49,125.56,14622712
2026-01-29 14:00:00,125.92,125.92,121.64,124.5,13187029
2026-01-30 14:00:00,125.22,126.32,122.13,122.41,15376472
2026-02-02 14:00:00,118.76,121.415,118.61,120.93,15395916
2026-02-03 14:00:00,126.11,126.15,122.57,124.32,12727779
2026-02-04 14:00:00,126.455,126.64,119.38,120.26,21545501
2026-02-05 14:00:00,118.9,121.7,118.115,120.21,16250420
2026-02-06 14:00:00,121.35,124.87,121.35,124.71,11990075
2026-02-09 14:00:00,123.98,126.41,123.5,126.05,10426643
2026-02-10 14:00:00,125.46,125.56,123.81,124.45,7838569
2026-02-11 14:00:00,127.68,130.73,126.33,130.6,12884201
2026-02-12 14:00:00,133.33,134.3,129.61,130.8,16591808
2026-02-13 14:00:00,131.69,134.32,128.33,133.97,16584284
2026-02-17 14:00:00,132.32,132.99,129.65,130.68,16472150
2026-02-18 14:00:00,131.38,134.14,130.61,132.93,12057664
2026-02-19 14:00:00,134.18,135.355,133.43,135.21,13191940
2026-02-20 14:00:00,137.7,141.98,137.44,141.88,19435403
2026-02-23 14:00:00,140.62,141.38,138.955,139.3,15725277
2026-02-24 14:00:00,143.65,145.62,142.775,144.55,20212926
2026-02-25 14:00:00,149.05,149.74,148.18,148.89,16893168
2026-02-26 14:00:00,153.305,154.22,146.58,150.41,42546250
2026-02-27 14:00:00,148.165,151.55,147.97,151.37,17172958
2026-03-02 14:00:00,144.12,149.37,143.63,147.54,33984799
2026-03-03 14:00:00,130.04,135.27,125.54,132.34,65699578
2026-03-04 14:00:00,129.295,140.67,128.63,134.37,65494527
2026-03-05 14:00:00,129.57,132.365,122.72,125.74,61265806
2026-03-06 14:00:00,122.82,128.44,121.55,126.73,43780334
2026-03-09 13:00:00,123.7,134.07,122.1,133.89,46248466
2026-03-10 13:00:00,132.3,137.6883,130.04,130.3,35090765
2026-03-11 13:00:00,131.215,133.99,130.34,132.85,25279379
2026-03-12 13:00:00,128.695,128.815,123.18,123.5,32466881
2026-03-13 13:00:00,127.75,129.39,123.51,124.15,23355483
2026-03-16 13:00:00,130.87,133.94,130.8,133.1,24762801
2026-03-17 13:00:00,134.755,135.99,133.17,134.43,15549861
2026-03-18 13:00:00,133.99,135.345,131.78,131.88,19764494
2026-03-19 13:00:00,128.415,135.54,126.7175,134.82,21186410
2026-03-20 13:00:00,132.57,132.915,125.49,125.78,32030708
2026-03-23 13:00:00,131.71,134.7,129.5759,133.81,32748819
2026-03-24 13:00:00,127.31,130.85,127.25,128.75,24789192
2026-03-25 13:00:00,129.545,130.59,127.03,127.74,25453228
2026-03-26 13:00:00,124.585,125.28,119.28,119.99,26420476
2026-03-27 13:00:00,121.74,123.15,119.76,120.98,16113144
2026-03-30 13:00:00,121.26,121.43,115.07,116.43,24644384
2026-03-31 13:00:00,115.15,123.35,114.92,123.01,40381765
2026-04-01 13:00:00,125.68,128.65,124.57,126.22,27872238
2026-04-02 13:00:00,117.52,124.91,116.89,122.87,17840267
2026-04-06 13:00:00,125.85,126.77,124.31,125.94,10830115
2026-04-07 13:00:00,126.45,127.68,122.51,127.19,14720338
2026-04-08 13:00:00,140.28,140.96,136.035,140.07,31700437
2026-04-09 13:00:00,136.2,140.2,134.95,139.29,19370222
2026-04-10 13:00:00,138.33,139.475,137.5,138.73,11230768
2026-04-13 13:00:00,136.1,141.835,135.9702,141.23,13632281
2026-04-14 13:00:00,142.365,147.39,142.12,146.68,17301289
2026-04-15 13:00:00,144.67,145.3,143.11,144.92,16187527
2026-04-16 13:00:00,146.73,148.525,145.4,147.47,10132996
2026-04-17 13:00:00,151.15,154.99,150.09,152.33,20083636
