Date,Open,High,Low,Close,Volume
2025-12-15 14:00:00,302.595,303.5,297.23,298.01,5241792
2025-12-16 14:00:00,296.705,298.92,293.08,296.2,5850416
2025-12-17 14:00:00,297.32,298.18,284.43,285.23,10422049
2025-12-18 14:00:00,295.72,296.96,290.835,292.04,6740393
2025-12-19 14:00:00,294.67,301.69,294.5,299.81,5074953
2025-12-22 14:00:00,306.725,306.938,302.55,303.84,4018973
2025-12-23 14:00:00,302.21,305.12,301.37,304.96,2708577
2025-12-24 14:00:00,304.995,306.5,304.71,306.14,1723245
2025-12-26 14:00:00,307.4,307.5399,305.29,306.04,1860929
2025-12-29 14:00:00,303.37,306.46,301.885,305.32,3620720
2025-12-30 14:00:00,306.08,307.48,304.7,304.92,2984846
2025-12-31 14:00:00,305.635,306.12,301.11,301.15,2954235
2026-01-02 14:00:00,308.56,315.81,308.56,313.69,8491325
2026-01-05 14:00:00,320.7,322.64,316.88,318.06,7923201
2026-01-06 14:00:00,322.07,329.15,322.0,328.35,7579894
2026-01-07 14:00:00,325.05,325.95,322.11,324.89,4528460
2026-01-08 14:00:00,324.19,324.19,316.4,319.58,5408327
2026-01-09 14:00:00,322.8,330.67,321.11,328.78,7323053
2026-01-12 14:00:00,325.695,331.38,325.53,330.35,5159571
2026-01-13 14:00:00,332.85,336.42,331.89,333.3,3835882
2026-01-14 14:00:00,331.03,331.99,327.175,331.9,5468927
2026-01-15 14:00:00,343.1,344.55,337.22,337.22,6531451
2026-01-16 14:00:00,343.505,345.41,340.22,342.47,5127307
2026-01-20 14:00:00,336.2,343.19,335.96,337.35,6232583
2026-01-21 14:00:00,341.84,351.33,340.3,348.14,7204178
2026-01-22 14:00:00,354.355,354.6,347.37,348.67,4661976
2026-01-23 14:00:00,346.39,348.03,342.17,344.71,4335863
2026-01-26 14:00:00,343.29,345.5,341.13,343.07,4458743
2026-01-27 14:00:00,348.16,353.2,346.65,351.08,5293550
2026-01-28 14:00:00,358.53,362.04,356.715,360.46,5364042
2026-01-29 14:00:00,361.18,363.8,347.72,361.13,8446174
2026-01-30 14:00:00,356.0,360.19,343.71,346.3,8719085
2026-02-02 14:00:00,342.37,356.11,341.9,352.69,7758021
2026-02-03 14:00:00,355.905,357.12,338.09,345.64,8371172
2026-02-04 14:00:00,342.18,345.39,323.33,330.38,15231365
2026-02-05 14:00:00,326.54,335.47,324.04,330.83,10406541
2026-02-06 14:00:00,337.395,349.56,335.87,348.51,9096100
2026-02-09 14:00:00,344.84,354.74,343.88,352.77,7091409
2026-02-10 14:00:00,353.52,355.04,348.12,351.43,6252387
2026-02-11 14:00:00,358.815,362.28,351.4,360.2,7497024
2026-02-12 14:00:00,363.455,365.38,351.05,351.5,9487983
2026-02-13 14:00:00,352.8,357.61,348.675,354.66,5963039
2026-02-17 14:00:00,349.805,357.1,345.32,354.1,4068938
2026-02-18 14:00:00,355.815,361.665,353.6,357.92,5681203
2026-02-19 14:00:00,354.175,356.32,351.77,355.84,5576424
2026-02-20 14:00:00,353.59,361.33,352.8,359.43,6013593
2026-02-23 14:00:00,357.57,360.38,352.85,356.82,6339757
2026-02-24 14:00:00,361.6,364.74,358.04,362.04,6205967
2026-02-25 14:00:00,366.195,368.82,365.51,368.0,4539919
2026-02-26 14:00:00,366.38,366.48,350.41,356.8,13329095
2026-02-27 14:00:00,349.6,354.03,348.34,352.29,6250166
2026-03-02 14:00:00,343.79,352.33,343.34,352.05,7284006
2026-03-03 14:00:00,338.09,339.31,330.89,334.78,17946093
2026-03-04 14:00:00,339.96,343.81,336.79,341.54,10649868
2026-03-05 14:00:00,338.9,343.72,330.57,337.76,7239331
2026-03-06 14:00:00,328.4,335.04,321.49,323.51,8733675
2026-03-09 13:00:00,318.31,337.17,316.22,336.37,9824632
2026-03-10 13:00:00,336.31,345.56,336.31,338.81,7470989
2026-03-11 13:00:00,340.5,345.4,340.45,342.09,6215113
2026-03-12 13:00:00,337.34,337.55,328.64,330.19,8008148
2026-03-13 13:00:00,333.875,338.4,329.79,331.32,6450826
2026-03-16 13:00:00,338.89,342.04,336.32,337.83,8018169
2026-03-17 13:00:00,340.56,341.16,336.79,340.25,4472077
2026-03-18 13:00:00,340.525,343.44,338.29,338.29,6363909
2026-03-19 13:00:00,328.76,342.77,326.76,340.2,8292080
2026-03-20 13:00:00,339.71,341.25,327.94,332.51,9441265
2026-03-23 13:00:00,340.115,344.93,335.12,336.59,8151040
2026-03-24 13:00:00,333.79,343.22,333.62,341.02,5287512
2026-03-25 13:00:00,344.17,347.68,342.14,345.25,5868985
2026-03-26 13:00:00,339.45,339.885,328.52,328.85,10172448
2026-03-27 13:00:00,326.84,329.95,322.16,323.48,6334798
2026-03-30 13:00:00,326.75,327.63,307.255,309.79,13204840
2026-03-31 13:00:00,315.595,329.18,314.88,328.66,14036482
2026-04-01 13:00:00,333.49,342.65,332.35,338.54,10130816
2026-04-02 13:00:00,325.11,340.39,325.03,339.61,6521003
2026-04-06 13:00:00,341.52,345.77,339.92,344.1,3105036
2026-04-07 13:00:00,343.035,347.94,338.47,347.76,4025969
2026-04-08 13:00:00,367.89,371.15,362.13,370.4,9868722
2026-04-09 13:00:00,371.295,378.95,371.295,378.63,6036659
2026-04-10 13:00:00,382.67,389.6025,382.67,386.6,5596888
2026-04-13 13:00:00,384.88,393.57,384.37,393.34,4377374
2026-04-14 13:00:00,397.835,401.4445,393.51,401.24,5202559
2026-04-15 13:00:00,400.31,402.09,392.39,401.86,5570248
2026-04-16 13:00:00,400.6,407.48,397.99,405.95,4400496
2026-04-17 13:00:00,413.38,415.73,409.58,415.71,5729056
2026-04-20 13:00:00,417.43,418.86,411.79,417.55,3493545
2026-04-21 13:00:00,420.4,423.35,416.67,420.7,3676751
2026-04-22 13:00:00,427.26,432.16,422.82,431.77,6557574
2026-04-23 13:00:00,435.34,446.64,434.04,441.0,10812387
2026-04-24 13:00:00,457.59,463.87,450.97,461.6,9071959
2026-04-27 13:00:00,461.75,463.0,448.93,455.41,8924649
2026-04-28 13:00:00,437.625,446.14,431.74,438.71,11014947
2026-04-29 13:00:00,445.26,450.37,442.4109,449.99,5972791
2026-04-30 13:00:00,455.695,462.14,449.34,461.44,5170248
2026-05-01 13:00:00,458.47,466.91,455.07,465.75,4155856
2026-05-04 13:00:00,467.93,469.61,457.81,462.06,5233125
